iter	Passed	Remaining
0	0	353
1	0	315
2	0	305
3	1	299
4	1	292
5	1	284
6	1	283
7	2	312
8	2	299
9	3	298
10	3	296
11	3	289
12	3	284
13	4	281
14	4	278
15	4	280
16	4	276
17	5	274
18	5	276
19	5	277
20	5	275
21	6	272
22	6	269
23	6	270
24	6	268
25	7	266
26	7	266
27	7	266
28	7	266
29	8	267
30	8	266
31	8	266
32	9	266
33	9	266
34	9	266
35	9	265
36	10	264
37	10	264
38	10	264
39	10	263
40	11	262
41	11	261
42	11	260
43	11	259
44	12	258
45	12	257
46	12	256
47	12	254
48	13	254
49	13	253
50	13	252
51	13	251
52	14	251
53	14	251
54	14	250
55	14	250
56	15	250
57	15	249
58	15	249
59	15	248
60	16	247
61	16	246
62	16	245
63	16	245
64	16	244
65	17	243
66	17	242
67	17	241
68	17	241
69	18	239
70	18	239
71	18	238
72	18	237
73	18	237
74	19	236
75	19	235
76	19	234
77	19	233
78	20	233
79	20	232
80	20	232
81	20	230
82	20	229
83	21	229
84	21	228
85	21	228
86	21	227
87	21	227
88	22	226
89	22	226
90	22	225
91	22	224
92	22	224
93	23	224
94	23	224
95	23	223
96	23	223
97	24	222
98	24	222
99	24	221
100	24	221
101	25	221
102	25	221
103	25	220
104	25	220
105	26	219
106	26	219
107	26	219
108	26	218
109	27	219
110	27	217
111	27	217
112	27	217
113	27	217
114	28	216
115	28	216
116	28	215
117	28	215
118	28	214
119	29	214
120	29	213
121	29	213
122	29	212
123	30	212
124	30	212
125	30	211
126	30	211
127	30	211
128	31	210
129	31	210
130	31	209
131	31	209
132	32	209
133	32	208
134	32	208
135	32	208
136	32	207
137	33	207
138	33	206
139	33	206
140	33	206
141	34	206
142	34	206
143	34	205
144	34	205
145	35	204
146	35	204
147	35	204
148	35	203
149	35	203
150	36	202
151	36	202
152	36	202
153	36	202
154	37	201
155	37	201
156	37	201
157	37	200
158	37	200
159	38	200
160	38	199
161	38	199
162	38	199
163	38	198
164	39	198
165	39	198
166	39	197
167	39	197
168	40	196
169	40	196
170	40	196
171	40	195
172	40	195
173	41	195
174	41	194
175	41	194
176	41	194
177	42	194
178	42	193
179	42	193
180	42	193
181	43	193
182	43	193
183	43	193
184	43	193
185	44	193
186	44	192
187	44	191
188	44	191
189	44	191
190	45	191
191	45	190
192	45	190
193	45	190
194	46	190
195	46	190
196	46	189
197	46	189
198	47	189
199	47	189
200	47	188
201	47	188
202	47	188
203	48	187
204	48	187
205	48	187
206	48	187
207	49	186
208	49	186
209	49	186
210	49	185
211	49	185
212	50	185
213	50	185
214	50	185
215	50	185
216	51	185
217	51	184
218	51	184
219	51	184
220	52	184
221	52	183
222	52	183
223	52	182
224	52	182
225	53	182
226	53	181
227	53	181
228	53	181
229	54	181
230	54	181
231	54	180
232	54	180
233	55	180
234	55	179
235	55	179
236	55	179
237	55	179
238	56	178
239	56	178
240	56	178
241	56	178
242	57	177
243	57	177
244	57	177
245	57	177
246	58	177
247	58	176
248	58	176
249	58	176
250	59	176
251	59	175
252	59	175
253	59	175
254	59	175
255	60	174
256	60	174
257	60	174
258	60	174
259	61	173
260	61	173
261	61	173
262	61	173
263	62	172
264	62	172
265	62	172
266	62	172
267	62	171
268	63	171
269	63	171
270	63	171
271	63	170
272	64	170
273	64	170
274	64	170
275	64	169
276	64	169
277	65	169
278	65	169
279	65	168
280	65	168
281	66	168
282	66	168
283	66	167
284	66	167
285	66	167
286	67	166
287	67	166
288	67	166
289	67	166
290	68	165
291	68	165
292	68	165
293	68	164
294	68	164
295	69	164
296	69	164
297	69	164
298	69	163
299	70	163
300	70	163
301	70	163
302	70	162
303	71	162
304	71	162
305	71	162
306	71	161
307	71	161
308	72	161
309	72	161
310	72	161
311	72	160
312	73	160
313	73	160
314	73	160
315	73	159
316	74	159
317	74	159
318	74	159
319	74	158
320	75	158
321	75	158
322	75	158
323	75	157
324	75	157
325	76	157
326	76	157
327	76	156
328	76	156
329	77	156
330	77	156
331	77	155
332	77	155
333	77	155
334	78	155
335	78	154
336	78	154
337	78	154
338	79	154
339	79	153
340	79	153
341	79	153
342	79	153
343	80	152
344	80	152
345	80	152
346	80	152
347	81	152
348	81	152
349	81	151
350	81	151
351	82	151
352	82	151
353	82	151
354	82	150
355	83	150
356	83	150
357	83	150
358	83	149
359	84	149
360	84	149
361	84	149
362	84	148
363	85	148
364	85	148
365	85	148
366	85	147
367	86	147
368	86	147
369	86	147
370	86	147
371	87	146
372	87	146
373	87	146
374	87	146
375	87	145
376	88	145
377	88	145
378	88	145
379	88	145
380	89	144
381	89	144
382	89	144
383	89	144
384	89	143
385	90	143
386	90	143
387	90	143
388	90	142
389	91	142
390	91	142
391	91	142
392	91	141
393	92	141
394	92	141
395	92	141
396	92	140
397	92	140
398	93	140
399	93	140
400	93	139
401	93	139
402	94	139
403	94	139
404	94	138
405	94	138
406	94	138
407	95	138
408	95	137
409	95	137
410	95	137
411	96	137
412	96	136
413	96	136
414	96	136
415	96	136
416	97	135
417	97	135
418	97	135
419	97	135
420	98	134
421	98	134
422	98	134
423	98	134
424	99	134
425	99	133
426	99	133
427	99	133
428	99	133
429	100	132
430	100	132
431	100	132
432	100	132
433	101	131
434	101	131
435	101	131
436	101	131
437	102	130
438	102	130
439	102	130
440	102	130
441	102	129
442	103	129
443	103	129
444	103	129
445	103	128
446	104	128
447	104	128
448	104	128
449	104	128
450	104	127
451	105	127
452	105	127
453	105	127
454	105	126
455	106	126
