iter	Passed	Remaining
0	0	27
1	0	26
2	0	24
3	0	23
4	1	22
5	1	21
6	1	20
7	1	20
8	1	19
9	2	19
10	2	19
11	2	18
12	2	18
13	3	18
14	3	18
15	3	18
16	3	18
17	3	18
18	4	17
19	4	18
20	4	17
21	4	17
22	5	17
23	5	17
24	5	16
25	5	16
26	6	16
27	6	15
28	6	15
29	6	15
30	6	15
31	7	14
32	7	14
33	7	14
34	7	14
35	7	14
36	8	13
37	8	13
38	8	13
39	8	13
40	9	13
41	9	12
42	9	12
43	9	12
44	10	12
45	10	12
46	10	11
47	10	11
48	11	11
49	11	11
50	11	11
51	11	10
52	11	10
53	12	10
54	12	10
55	12	9
56	12	9
57	13	9
58	13	9
59	13	9
60	13	8
61	14	8
62	14	8
63	14	8
64	14	7
65	15	7
66	15	7
67	15	7
68	15	7
69	16	6
70	16	6
71	16	6
72	16	6
73	16	5
74	17	5
75	17	5
76	17	5
77	17	5
78	18	4
79	18	4
80	18	4
81	18	4
82	18	3
83	19	3
84	19	3
85	19	3
86	19	2
87	20	2
88	20	2
89	20	2
90	20	2
91	21	1
92	21	1
93	21	1
94	21	1
95	21	0
96	22	0
97	22	0
98	22	0
99	22	0
